School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
Troy University,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,0.3725,0.6275,4,1,0.8757,1079.0,5
Tuskegee University,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0.0,0.0618,0.3622,0.6378,4,2,0.5173,1029.0,5
University of Alaska Fairbanks,0.4993,0.0361,0.0864,0.0188,0.1308,0.0082,0.1059,0.0129,0.1016,0.4224,0.5776,4,1,0.7599,1121.0,8
Arizona State University Campus Immersion,0.4927,0.0383,0.2266,0.0853,0.0112,0.0017,0.0477,0.0884,0.0082,0.5525,0.4475,4,1,0.8647,1230.0,6
University of Arizona,0.4977,0.0386,0.2709,0.0532,0.0117,0.0023,0.0499,0.0624,0.0133,0.4644,0.5356,4,1,0.8459,1228.0,6
Arizona Christian University,0.4558,0.1494,0.2391,0.0137,0.0075,0.0025,0.0535,0.0448,0.0336,0.6376,0.3624,3,2,0.6793,982.0,6
University of Arkansas at Little Rock,0.4864,0.2719,0.0439,0.022,0.0037,0.0,0.1322,0.0369,0.0029,0.3686,0.6314,4,1,0.6582,1120.0,5
Lyon College,0.5462,0.0938,0.0631,0.0462,0.0277,0.0,0.0,0.0138,0.2092,0.5631,0.4369,3,2,0.444,1165.0,5
University of Arkansas at Pine Bluff,0.0287,0.9023,0.0231,0.0039,0.0039,0.0009,0.0197,0.0137,0.0039,0.4068,0.5932,4,1,0.4394,978.0,5
Baptist Health College Little Rock,0.6672,0.2597,0.0406,0.0114,0.0016,0.0016,0.0097,0.0016,0.0065,0.1201,0.8799,2,2,1.0,1085.0,5
University of Central Arkansas,0.6645,0.162,0.0582,0.0224,0.0057,0.0007,0.0427,0.0417,0.0021,0.391,0.609,4,1,0.9042,1187.0,5
Central Baptist College,0.6867,0.155,0.0567,0.005,0.02,0.0017,0.03,0.0267,0.0183,0.53,0.47,3,2,0.4,1027.0,5
Harding University,0.809,0.0472,0.0384,0.0088,0.0027,0.0016,0.0331,0.0584,0.0008,0.4556,0.5444,4,2,0.6134,1204.0,5
Henderson State University,0.6405,0.1997,0.059,0.0111,0.0037,0.0074,0.06,0.0101,0.0084,0.4293,0.5707,4,1,0.7564,1102.0,5
Hendrix College,0.6078,0.0697,0.0661,0.0317,0.0,0.0,0.0335,0.0172,0.1739,0.4783,0.5217,4,2,0.6996,1324.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,0.7577,1237.0,5
Ouachita Baptist University,0.8038,0.0722,0.0584,0.0079,0.0039,0.0007,0.0282,0.0249,0.0,0.4239,0.5761,3,2,0.6143,1194.0,5
University of the Ozarks,0.4384,0.0677,0.1145,0.0086,0.0086,0.0012,0.0382,0.2599,0.0628,0.4914,0.5086,3,2,0.5019,1046.0,5
Williams Baptist University,0.7285,0.1309,0.041,0.0,0.0039,0.002,0.0215,0.0723,0.0,0.5352,0.4648,4,2,0.5878,1062.0,5
Southern Arkansas University Main Campus,0.6596,0.2405,0.0458,0.0066,0.0044,0.0006,0.0218,0.0205,0.0,0.4444,0.5556,4,1,0.6506,1085.0,5
Biola University,0.4542,0.0275,0.2074,0.1506,0.0027,0.0079,0.0635,0.0501,0.036000000000000004,0.3672,0.6328,4,2,0.6985,1198.0,8
California Baptist University,0.3853,0.0638,0.3638,0.0596,0.0062,0.0099,0.0562,0.0225,0.0327,0.3756,0.6244,4,2,0.7828,1096.0,8
