School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
Northland Pioneer College,0.441,0.0047,0.1149,0.0078,0.382,0.0023,0.0155,0.0,0.0318,0.3439,0.6561,2,1,6
Northland Pioneer College,0.441,0.0047,0.1149,0.0078,0.382,0.0023,0.0155,0.0,0.0318,0.3439,0.6561,2,1,6
Ottawa University-Phoenix,0.5405,0.1018,0.2715,0.0183,0.0209,0.0,0.0052,0.0,0.0418,0.2559,0.7441,4,2,6
Pima Community College,0.3597,0.0461,0.4920000000000001,0.0272,0.0223,0.0048,0.0171,0.0013,0.0295,0.4275,0.5725,2,1,6
Pima Medical Institute-Tucson,0.3698,0.0653,0.4096,0.0414,0.0166,0.0041,0.087,0.0,0.0062,0.1932,0.8068,3,3,6
Prescott College,0.6903,0.028,0.0473,0.0129,0.0237,0.0043,0.071,0.0043,0.1183,0.3312,0.6688,4,2,6
Refrigeration School Inc,0.3743,0.0952,0.3045,0.0111,0.1307,0.0089,0.0543,0.0011,0.0199,0.938,0.062,2,3,6
Rio Salado College,0.4865,0.1083,0.281,0.0252,0.0189,0.0024,0.0475,0.0014,0.0288,0.3182,0.6818,2,1,6
Roberto-Venn School of Luthiery,0.8421,0.0,0.0526,0.1053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,6
Scottsdale Community College,0.5454,0.0424,0.2347,0.0306,0.0559,0.0032,0.0408,0.0105,0.0366,0.4492,0.5508,2,1,6
South Mountain Community College,0.1225,0.1761,0.5843,0.0215,0.0311,0.0016,0.0311,0.0029,0.0289,0.4208,0.5792,2,1,6
Arizona Christian University,0.4558,0.1494,0.2391,0.0137,0.0075,0.0025,0.0535,0.0448,0.0336,0.6376,0.3624,3,2,6
Yavapai College,0.5688,0.0114,0.1961,0.0105,0.0223,0.0036,0.0253,0.0018,0.1601,0.3995,0.6005,2,1,6
University of Arkansas at Little Rock,0.4864,0.2719,0.0439,0.022,0.0037,0.0,0.1322,0.0369,0.0029,0.3686,0.6314,4,1,5
University of Arkansas for Medical Sciences,0.6903,0.1032,0.0724,0.0308,0.0062,0.0031,0.0262,0.0123,0.0555,0.1664,0.8336,4,1,5
Arkansas Baptist College,0.1394,0.7853,0.0151,0.0019,0.0056,0.0,0.0038,0.0056,0.0433,0.7721,0.2279,3,2,5
Arkansas Beauty School-Little Rock,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.875,1,3,5
Arkansas Beauty College,0.8333,0.0556,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,5
Lyon College,0.5462,0.0938,0.0631,0.0462,0.0277,0.0,0.0,0.0138,0.2092,0.5631,0.4369,3,2,5
Arkansas College of Barbering and Hair Design,0.0488,0.9268,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.8171,0.1829,1,3,5
