School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Capri Institute of Hair Design-Clifton,0.1538,0.1154,0.5923,0.0308,0.0077,0,0.0077,0.0154,0.0769,0.2385,0.7615,1,3,0.7154,,,,,2,,14207,,,0.3386,,,,,27754,0.5845
Raphael's School of Beauty Culture Inc-Alliance,0.5052,0.2552,0.125,0.026,0.0052,0,0.0833,0,0,0.0052,0.9948,1,3,0.4375,,,,,3,,9491,,,0.5941,,,,,27754,0.5845
Metro Technology Centers,0.2747,0.1867,0.2511,0.03,0.0322,0.0021,0.0322,0,0.191,0.5579,0.4421,1,1,0.1642,,,,,6,4812,,,,0.0614,,764,,,27754,0.5845
Hussian College-Daymar College Bowling Green,0.6354,0.2099,0.0331,0.0166,0.0055,0,0.0442,0.0442,0.011,0.232,0.768,3,3,0.7293,0.9438,,,,5,,19582,3818,0.2308,0.8783,,,0,3,36066,0.5845
Luna Community College,0.1293,0.0128,0.8197,0.0073,0.02,0.0036,0.0055,0,0.0018,0.4517,0.5483,2,1,0.4401,,,,,6,2670,,4389,0.3425,0.0448,,494,1250,,36066,0.5845
Grabber School of Hair Design,0.5745,0.3564,0.0106,0.0372,0,0,0,0,0.0213,0.0532,0.9468,1,3,0.4787,,,,,4,,12575,,,0.5737,,,,,27754,0.5845
Yeshivah Gedolah Rabbinical College,0.7333,0,0,0,0,0,0,0.2667,0,1,0,3,2,0.0333,,,,,5,,10383,5009,,0,,,,,47975.5,0.5845
University of the District of Columbia-David A Clarke School of Law,,,,,,,,,,,,4,1,,,,,,2,,,14885,0.9615,,253,,,,,0.5845
Raphael's School of Beauty Culture Inc-Brunswick,0.6316,0.2456,0,0,0,0,0.1053,0,0.0175,0.0351,0.9649,1,3,0.4912,,,,,3,,11136,,,0.552,,,,,27754,0.5845
Caribbean University-Ponce,0,0,1,0,0,0,0,0,0,0.6367,0.3633,4,2,0.4342,,,,,9,,2745,2493,0.198,0.4396,178,,1272,,47975.5,0.5845
Caribbean University-Vega Baja,0,0,1,0,0,0,0,0,0,0.3264,0.6736,4,2,0.2639,,,,,9,,4073,2100,0.2083,0.2157,9,,1272,,47975.5,0.5845
University of Advancing Technology,0.5087,0.1012,0.1518,0.0253,0.016,0.0067,0.1105,0.0027,0.0772,0.8136,0.1864,4,3,0.3276,0.8743,,,,6,,21440,5486,0.4407,0.6233,38,,0,2,47975.5,0.5845
Paradise Valley Community College,0.5418,0.042,0.2809,0.0274,0.0146,0.0012,0.0424,0.0051,0.0446,0.4465,0.5535,2,1,0.3376,,,,,6,9239,,9275,1,0.0895,,2068,1464,,27754,0.5845
Chandler-Gilbert Community College,0.4888,0.0521,0.2964,0.0469,0.0221,0.0022,0.0523,0.0071,0.0321,0.4998,0.5002,2,1,0.1774,,,,,6,9926,,9093,1,0.0802,,6352,1464,,27754,0.5845
Great Plains Technology Center,0.5311,0.1864,0.1186,0.0282,0.1243,0.0113,0,0,0,0.5819,0.4181,1,1,0.3107,,,,,6,10217,,,,0,,,,,27754,0.5845
Roane-Jackson Technical Center,1,0,0,0,0,0,0,0,0,0,1,1,1,0.3571,,,,,5,4458,,,,0,,,,,27754,0.5845
Pioneer Technology Center,0.6905,0.0159,0.0873,0,0.127,0,0.0794,0,0,0.373,0.627,1,1,0.1339,,,,,6,9710,,,,0,,322,,,27754,0.5845
Portage Lakes Career Center,0.6364,0.3117,0,0,0.013,0,0.039,0,0,0.2468,0.7532,1,1,0.5844,,,,,3,17084,,,,0.5785,,,,,27754,0.5845
Eastern College of Health Vocations-New Orleans,0.1607,0.8036,0.0357,0,0,0,0,0,0,0.0179,0.9821,1,3,0.3393,,,,,5,,13605,,,0.7785,,,,,27754,0.5845
Bell Mar Beauty College,0.0115,0.1264,0.8506,0,0,0,0.0115,0,0,0.046,0.954,1,3,0.7126,,,,,3,,6757,,,0,,,,,27754,0.5845
Caddo Kiowa Technology Center,0.5366,0.0163,0.1138,0,0.2276,0.0081,0.0976,0,0,0.2927,0.7073,1,1,0.0929,,,,,6,4048,,,,0,,297,,,27754,0.5845
Palomar Institute of Cosmetology,0.383,0.0284,0.4894,0.0213,0.0071,0.0142,0.0567,0,0,0.0284,0.9716,1,3,0.3617,,,,,8,,15541,,,0.4355,,,,,27754,0.5845
Southern Oklahoma Technology Center,0.52,0.056,0.144,0.024,0.152,0,0.064,0,0.04,0.504,0.496,1,1,0.0673,,,,,6,4411,,,,0,,544,,,27754,0.5845
Autry Technology Center,0.551,0.022,0.1873,0.0028,0.0193,0.011,0.0551,0,0.1515,0.4876,0.5124,1,1,0.1267,,,,,6,,,,,0,,371,,,27754,0.5845
Greene County Vocational School District,0.9259,0.037,0.037,0,0,0,0,0,0,0.7778,0.2222,1,1,0.2222,,,,,3,11254,,,,0.5294,,,,,27754,0.5845
Canadian Valley Technology Center,0.7031,0.049,0.1036,0.0084,0.1303,0.0042,0.0014,0,0,0.5644,0.4356,1,1,0.0566,,,,,6,6425,,,,0,,875,,,27754,0.5845
Wilkes-Barre Area Career and Technical Center Practical Nursing,0.6575,0.1301,0.0753,0.0411,0,0.0068,0.0411,0,0.0479,0.1027,0.8973,1,1,0.6438,0.4974,,,,2,16014,,,,0.9524,,,,3,27754,0.5845
Meridian Technology Center,0.7303,0.0562,0.0487,0.0037,0.0524,0.0075,0.0487,0,0.0524,0.4644,0.5356,1,1,0.0903,,,,,6,,,,,0,,752,,,27754,0.5845
Waynesville Career Center,0.7647,0.1176,0.0588,0.0294,0,0,0,0,0.0294,0.0588,0.9412,1,1,0.5,,,,,4,26452,,,,0.5588,,,,,27754,0.5845
Capitol School of Hairstyling and Esthetics,0.7722,0.0316,0.1076,0.0127,0.0063,0,0.057,0,0.0127,0.0253,0.9747,1,3,0.1329,,,,,4,,12809,,,0.4732,,,,,27754,0.5845
Morris County Vocational School District,0.619,0.2381,0.0476,0.0714,0,0,0.0238,0,0,0.4286,0.5714,1,1,0.5952,1,,,,2,14096,,,,0.4265,,,,3,27754,0.5845
Ross Medical Education Center-Roosevelt Park,0.6406,0.1563,0.1172,0.0078,0,0,0.0781,0,0,0.0313,0.9688,1,3,0.4531,,,,,3,,18987,,,0.6412,,,,,27754,0.5845
Ross Medical Education Center-Kentwood,0.3609,0.2308,0.2899,0.0296,0,0,0.0651,0,0.0237,0.0651,0.9349,1,3,0.3964,,,,,3,,19920,,,0.6498,,,,,27754,0.5845
South Florida Bible College and Theological Seminary,0.2019,0.2347,0.1737,0.0094,0,0,0,0.3474,0.0329,0.4131,0.5869,4,2,0.7838,,,,,5,,,3379,0.3091,0.28,88,9,600,,47975.5,0.5845
Cloyd's Barber School 2 Inc,0.0313,0.9688,0,0,0,0,0,0,0,0.625,0.375,1,3,0.5938,,,,,5,,2590,,,0,,,,,27754,0.5845
Universal Technical Institute of Illinois Inc,0.479,0.0649,0.3693,0.017,0.004,0.001,0.0549,0,0.01,0.9741,0.0259,1,3,0.1248,,,,,3,,19326,,,0.6567,,,,,27754,0.5845
Pennsylvania College of Technology,0.8816,0.0315,0.039,0.0144,0.0014,0.0014,0.0246,0.001,0.0051,0.6277,0.3723,3,1,0.1824,,,,,2,25794,,9782,0.6396,0.6759,,48,1549,,36066,0.5845
Commonwealth Institute of Funeral Service,0.5315,0.2587,0.1958,0.0035,0.0105,0,0,0,0,0.3392,0.6608,2,2,0.6573,,,,,6,,26767,5330,,0.4439,,,,,36066,0.5845
InterCoast Colleges-Santa Ana,0.3009,0.146,0.4336,0.0354,0.0044,0.0221,0,0,0.0575,0.5442,0.4558,2,3,0.7611,,,,,8,,23908,5413,0.5,0.883,,,,,27754,0.5845
Stone Child College,0.0354,0,0.0051,0,0.9343,0,0,0.0253,0,0.3636,0.6364,3,1,0.5472,,,,,7,3506,,4993,0.3214,0,,120,1300,,36066,0.5845
Suffolk County Community College,0.4862,0.086,0.3052,0.0378,0.0031,0.001,0.0174,0.0037,0.0596,0.4712,0.5288,2,1,0.1755,,,,,2,5533,,10665,0.3471,0.1099,,6368,1500,,36066,0.5845
Las Positas College,0.3315,0.0391,0.3018,0.2087,0.0018,0.0057,0.0761,0.0126,0.0228,0.4808,0.5192,2,1,0.3192,,,,,8,3307,,9608,0.3448,0.0032,,856,1971,,36066,0.5845
Blades School of Hair Design,0.6889,0.2333,0.0667,0.0111,0,0,0,0,0,0.0556,0.9444,1,3,0.2333,,,,,2,,14331,,,0.8762,,,,,27754,0.5845
Ogeechee Technical College,0.5913,0.3157,0.0608,0.004,0.0017,0.0029,0.0212,0.0017,0.0006,0.322,0.678,2,1,0.3256,,,,,5,391,,4586,,0,,337,724,,27754,0.5845
Remington College-Mobile Campus,0.3235,0.585,0.0033,0.0033,0.0065,0,0.0392,0,0.0392,0.2516,0.7484,2,2,0.5392,,,,,5,,20110,2723,,0.6957,,,0,,27754,0.5845
Mercy-St Luke's School of Radiologic Technology,0.9565,0,0,0.0435,0,0,0,0,0,0.1304,0.8696,1,2,0.1739,,,,,4,,,,,0.4091,,,,,27754,0.5845
Southwest Acupuncture College-Santa Fe,,,,,,,,,,,,4,3,,,,,,6,,,,,,29,,,,,0.5845
Northwest Technology Center-Alva,0.8421,0,0.1053,0,0,0,0.0526,0,0,0.3684,0.6316,1,1,0.0208,,,,,6,,,,,0,,221,,,27754,0.5845
Mercer County Career Center,0.9545,0.0455,0,0,0,0,0,0,0,0.0455,0.9545,1,1,0.8636,,,,,2,10271,,,,0.7143,,,,,27754,0.5845
California State University-San Marcos,0.262,0.0305,0.4675,0.0939,0.0027,0.0022,0.0526,0.0455,0.0432,0.3911,0.6089,4,1,0.2049,0.6167,525,520,1043,8,13399,,10090,0.4717,0.333,1216,72,2000,1,47975.5,0.5845
Hairmasters Institute of Cosmetology,0.44,0.35,0.21,0,0,0,0,0,0,0.01,0.99,1,3,0.3,,,,,3,,8066,,,0.7479,,,,,27754,0.5845
Tricoci University of Beauty Cuture LLC-Bloomington,0.8851,0.0805,0,0.0115,0,0.023,0,0,0,0.1034,0.8966,1,3,0.3218,,,,,3,,13650,,,0.7609,,,,,27754,0.5845
Interactive College of Technology-Newport,0.6567,0.3284,0.0149,0,0,0,0,0,0,0.7313,0.2687,2,3,0.806,,,,,5,,14489,4036,,0.8,,,1800,,27754,0.5845
Platt College-McCann-Monroe,0.2206,0.7421,0.0143,0.0029,0,0,0.0143,0,0.0057,0.106,0.894,2,3,0.7049,,,,,5,,23707,3331,0.2857,0.7782,,,,,36066,0.5845
Ross Medical Education Center-Taylor,0.4459,0.3649,0.0946,0,0,0,0.0541,0,0.0405,0.0946,0.9054,1,3,0.4459,,,,,3,,18810,,,0.7465,,,,,27754,0.5845
National Tractor Trailer School Inc-Liverpool,0.5,0.2356,0.1264,0.0172,0.0172,0,0,0,0.1034,0.8678,0.1322,1,3,0.8506,,,,,2,,19558,,,0.768,,,,,27754,0.5845
Butler Beauty Academy-New Castle Beauty Academy,0.6316,0.3158,0,0,0,0,0.0526,0,0,0.1053,0.8947,1,3,0.3684,,,,,2,,10846,,,0.4706,,,,,27754,0.5845
NorthWest Arkansas Community College,0.5875,0.0264,0.2573,0.0311,0.0126,0.0057,0.0479,0.0152,0.0162,0.4195,0.5805,2,1,0.2348,,,,,5,6574,,6181,0.3212,0.1471,,2281,1200,,36066,0.5845
Brewster Technical College,0.1883,0.3946,0.3229,0.0314,0,0,0.0359,0,0.0269,0.3722,0.6278,1,1,0.4933,,,,,5,8276,,,,0,,,,,27754,0.5845
Hodges University,0.3714,0.1538,0.3978,0.0264,0.0048,0.0024,0.0036,0.006,0.0337,0.3798,0.6202,4,2,0.759,0.6121,,,,5,,21577,6364,0.223,0.6213,143,2,1000,2,47975.5,0.5845
University of St. Augustine for Health Sciences,,,,,,,,,,,,4,3,,,,,,8,,,8008,0.2413,,4353,,,,,0.5845
