Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
40 to 44 years,Black,Male,1172,3,4,1,12,18,36,49,378,180,68,67,217,105,8,26
45 to 49 years,Black,Male,1182,1,5,5,14,13,19,42,457,223,48,92,165,75,4,19
50 to 54 years,Black,Male,1205,4,3,0,22,13,14,79,431,207,39,101,169,98,15,9
55 to 59 years,Black,Male,1225,5,1,23,15,30,45,75,471,139,52,75,199,76,4,15
60 to 64 years,Black,Male,995,2,8,9,13,10,33,71,401,168,41,41,129,57,1,9
65 to 69 years,Black,Male,829,2,5,8,26,14,36,57,306,153,30,32,103,47,2,6
70 to 74 years,Black,Male,586,0,10,14,7,11,23,30,204,115,19,34,87,21,1,11
75 years and over,Black,Male,685,2,18,20,55,20,38,42,242,103,23,8,74,28,5,6
18 to 24 years,Black,Female,2184,6,6,0,5,25,28,250,746,759,40,57,246,15,0,0
25 to 29 years,Black,Female,1844,12,5,0,8,11,30,64,512,440,90,128,388,139,2,15
30 to 34 years,Black,Female,1626,0,8,2,9,9,28,56,471,365,105,108,297,146,8,14
35 to 39 years,Black,Female,1550,9,0,9,5,12,18,64,404,285,102,134,270,203,12,23
40 to 44 years,Black,Female,1422,4,7,4,23,17,17,59,378,258,41,86,304,181,18,25
45 to 49 years,Black,Female,1448,4,4,4,6,10,21,48,424,268,56,90,287,179,24,23
50 to 54 years,Black,Female,1425,12,3,1,13,35,24,85,434,257,59,119,202,146,22,14
55 to 59 years,Black,Female,1429,5,5,6,16,13,32,56,419,340,61,111,239,97,15,15
60 to 64 years,Black,Female,1348,4,5,7,30,25,31,92,456,257,38,118,164,109,6,7
65 to 69 years,Black,Female,1090,5,8,12,24,33,21,75,332,198,52,65,157,86,8,15
70 to 74 years,Black,Female,748,3,4,8,15,12,38,61,264,116,29,53,81,47,10,7
75 years and over,Black,Female,1108,25,13,28,68,36,57,90,422,136,35,35,82,68,4,10
18 to 24 years,Asian,Male,924,0,8,0,0,2,11,75,163,388,4,30,191,47,4,0
25 to 29 years,Asian,Male,851,2,0,0,7,2,3,12,84,98,14,38,337,211,24,20
30 to 34 years,Asian,Male,825,0,0,0,0,4,0,11,108,72,16,24,328,177,31,54
35 to 39 years,Asian,Male,750,3,4,4,10,3,0,5,102,62,23,24,268,172,12,58
40 to 44 years,Asian,Male,748,4,6,7,10,7,2,10,116,46,12,32,220,192,27,57
45 to 49 years,Asian,Male,706,2,4,3,6,12,3,16,111,72,22,34,233,140,16,33
50 to 54 years,Asian,Male,580,6,0,5,10,0,16,18,115,64,23,30,141,94,12,45
55 to 59 years,Asian,Male,497,11,6,9,14,9,4,7,110,40,13,24,126,82,5,36
60 to 64 years,Asian,Male,503,4,2,8,6,7,3,9,111,53,11,23,161,79,1,26
65 to 69 years,Asian,Male,348,8,2,16,4,5,10,8,67,33,8,16,91,40,11,30
70 to 74 years,Asian,Male,327,0,6,3,7,0,2,16,65,26,13,6,104,44,5,29
75 years and over,Asian,Male,399,2,7,21,19,11,5,1,88,50,12,10,94,41,14,23
18 to 24 years,Asian,Female,892,5,6,1,0,6,13,59,139,318,13,56,226,49,2,0
25 to 29 years,Asian,Female,845,5,3,0,0,3,7,7,86,74,23,40,374,182,22,19
